used,year,doy,sod,time,ref_clock,n_isb,n_unknowns,x_m,y_m,z_m,clock_m,gps_isb_m,gal_isb_m,glo_isb_m,geo_isb_m,bds_isb_m,qzss_isb_m,irnss_isb_m
1,2015,006,5.00,00:00:05.00,GPS,0,4,4637949.6463,121208.3015,4362373.5862,2522268.4864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,10.00,00:00:10.00,GPS,0,4,4637950.0222,121208.1357,4362373.8175,2522268.9375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,15.00,00:00:15.00,GPS,0,4,4637949.9172,121208.2991,4362374.7102,2522269.4108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,20.00,00:00:20.00,GPS,0,4,4637949.6705,121208.2761,4362373.3793,2522268.4459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,25.00,00:00:25.00,GPS,0,4,4637949.1830,121208.5930,4362372.9171,2522268.2587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,30.00,00:00:30.00,GPS,0,4,4637949.8776,121207.9350,4362373.5006,2522268.4071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,35.00,00:00:35.00,GPS,0,4,4637950.0209,121208.2966,4362374.0165,2522268.9472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,40.00,00:00:40.00,GPS,0,4,4637949.9092,121208.3156,4362373.6442,2522268.8219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,45.00,00:00:45.00,GPS,0,4,4637951.0260,121208.0506,4362374.4131,2522269.4799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,50.00,00:00:50.00,GPS,0,4,4637949.8769,121208.1283,4362374.2730,2522268.9701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,55.00,00:00:55.00,GPS,0,4,4637950.2642,121208.1862,4362374.1711,2522269.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,60.00,00:01:00.00,GPS,0,4,4637949.8715,121208.3053,4362373.4481,2522268.5317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,65.00,00:01:05.00,GPS,0,4,4637948.9340,121208.4134,4362372.9964,2522267.9530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,70.00,00:01:10.00,GPS,0,4,4637950.5086,121208.1491,4362374.1826,2522269.3011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,75.00,00:01:15.00,GPS,0,4,4637949.5749,121207.9973,4362372.5846,2522267.8022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,80.00,00:01:20.00,GPS,0,4,4637949.6280,121207.9843,4362374.0050,2522269.1864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,85.00,00:01:25.00,GPS,0,4,4637949.6764,121207.7861,4362373.5230,2522268.6072,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,90.00,00:01:30.00,GPS,0,4,4637949.7995,121207.8704,4362373.7008,2522268.7452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,95.00,00:01:35.00,GPS,0,4,4637949.1788,121208.0132,4362372.8957,2522267.9910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,100.00,00:01:40.00,GPS,0,4,4637950.3161,121208.1254,4362374.4112,2522269.0838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,105.00,00:01:45.00,GPS,0,4,4637949.3811,121208.0750,4362373.6563,2522268.3530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,110.00,00:01:50.00,GPS,0,4,4637950.5379,121207.9557,4362373.9075,2522269.1950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,115.00,00:01:55.00,GPS,0,4,4637949.6116,121207.8530,4362373.0306,2522268.2851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,120.00,00:02:00.00,GPS,0,4,4637950.0000,121208.5089,4362373.2208,2522268.4951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,125.00,00:02:05.00,GPS,0,4,4637949.8690,121208.2001,4362373.2580,2522268.5005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,130.00,00:02:10.00,GPS,0,4,4637949.5955,121208.0147,4362373.8976,2522269.0460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,135.00,00:02:15.00,GPS,0,4,4637953.0880,121208.3969,4362376.6094,2522271.6718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,140.00,00:02:20.00,GPS,0,4,4637951.6475,121208.2334,4362374.9161,2522270.3062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,145.00,00:02:25.00,GPS,0,4,4637952.8663,121208.3654,4362374.8782,2522270.8406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,150.00,00:02:30.00,GPS,0,4,4637951.9415,121208.2718,4362375.2586,2522270.5842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,155.00,00:02:35.00,GPS,0,4,4637952.5431,121208.3149,4362376.2449,2522271.1717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,160.00,00:02:40.00,GPS,0,4,4637952.2075,121208.3681,4362374.9366,2522270.6396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,165.00,00:02:45.00,GPS,0,4,4637952.3799,121208.7455,4362374.7494,2522270.6952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,170.00,00:02:50.00,GPS,0,4,4637952.5427,121208.3647,4362375.2031,2522270.9114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,175.00,00:02:55.00,GPS,0,4,4637951.6153,121208.6502,4362374.1283,2522269.8379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,180.00,00:03:00.00,GPS,0,4,4637952.2069,121208.4642,4362375.3481,2522270.7225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,185.00,00:03:05.00,GPS,0,4,4637952.1965,121208.0763,4362375.2924,2522270.5812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,190.00,00:03:10.00,GPS,0,4,4637951.2707,121208.2454,4362375.5684,2522270.6959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,195.00,00:03:15.00,GPS,0,4,4637952.2592,121208.4268,4362375.4815,2522271.0645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,200.00,00:03:20.00,GPS,0,4,4637952.1133,121208.3299,4362375.3147,2522270.6718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,205.00,00:03:25.00,GPS,0,4,4637952.6441,121208.1410,4362375.5860,2522270.9098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,210.00,00:03:30.00,GPS,0,4,4637952.4389,121208.1409,4362375.0868,2522270.5892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,215.00,00:03:35.00,GPS,0,4,4637952.5522,121208.2583,4362375.1679,2522270.9267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,220.00,00:03:40.00,GPS,0,4,4637951.5736,121208.3937,4362374.2537,2522270.0692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,225.00,00:03:45.00,GPS,0,4,4637952.5725,121208.4865,4362375.3444,2522270.9580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,230.00,00:03:50.00,GPS,0,4,4637952.5271,121208.0423,4362374.8793,2522270.4699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,235.00,00:03:55.00,GPS,0,4,4637952.3720,121208.0933,4362375.3911,2522270.9229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,240.00,00:04:00.00,GPS,0,4,4637951.7367,121208.1579,4362374.5495,2522270.0726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,245.00,00:04:05.00,GPS,0,4,4637952.0883,121207.7509,4362374.4540,2522270.1907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,250.00,00:04:10.00,GPS,0,4,4637951.3039,121208.3690,4362374.4665,2522269.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,255.00,00:04:15.00,GPS,0,4,4637951.3897,121208.1661,4362374.4512,2522269.9596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,260.00,00:04:20.00,GPS,0,4,4637951.8619,121208.4155,4362374.7847,2522270.1650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,265.00,00:04:25.00,GPS,0,4,4637951.0746,121208.1138,4362374.3555,2522269.8923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,270.00,00:04:30.00,GPS,0,4,4637952.2565,121208.2642,4362374.5700,2522270.2927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,275.00,00:04:35.00,GPS,0,4,4637951.4481,121208.3365,4362374.5304,2522269.9970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,280.00,00:04:40.00,GPS,0,4,4637950.8774,121207.9060,4362374.3385,2522269.4221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,285.00,00:04:45.00,GPS,0,4,4637951.1568,121208.4466,4362374.6097,2522269.7198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,290.00,00:04:50.00,GPS,0,4,4637950.9413,121208.0506,4362374.4554,2522269.4245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,295.00,00:04:55.00,GPS,0,4,4637951.9372,121208.2114,4362375.0620,2522270.0688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,300.00,00:05:00.00,GPS,0,4,4637951.1994,121208.3564,4362374.0859,2522269.3086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,305.00,00:05:05.00,GPS,0,4,4637950.5795,121207.9301,4362374.8279,2522269.5508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,310.00,00:05:10.00,GPS,0,4,4637951.7923,121208.2509,4362375.4021,2522270.1603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,315.00,00:05:15.00,GPS,0,4,4637951.5963,121208.4008,4362375.2544,2522270.3049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,320.00,00:05:20.00,GPS,0,4,4637951.2388,121208.2693,4362373.8654,2522269.4217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,325.00,00:05:25.00,GPS,0,4,4637951.8198,121208.2808,4362375.1044,2522270.3226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,330.00,00:05:30.00,GPS,0,4,4637951.6700,121208.4075,4362375.0299,2522270.2416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,335.00,00:05:35.00,GPS,0,4,4637951.0727,121208.5671,4362374.0948,2522269.4390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,340.00,00:05:40.00,GPS,0,4,4637951.4471,121208.5590,4362374.6380,2522269.7968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,345.00,00:05:45.00,GPS,0,4,4637951.9408,121208.2583,4362374.1249,2522269.7805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,350.00,00:05:50.00,GPS,0,4,4637952.1761,121208.4656,4362375.3449,2522270.4477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,355.00,00:05:55.00,GPS,0,4,4637951.0887,121208.3198,4362374.8843,2522269.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,360.00,00:06:00.00,GPS,0,4,4637952.4575,121208.4636,4362374.9232,2522270.2635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,365.00,00:06:05.00,GPS,0,4,4637951.9458,121208.6409,4362374.7177,2522269.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,370.00,00:06:10.00,GPS,0,4,4637952.0581,121208.2789,4362374.9309,2522270.1972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,375.00,00:06:15.00,GPS,0,4,4637953.0720,121208.3580,4362375.6441,2522270.9092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,380.00,00:06:20.00,GPS,0,4,4637952.9149,121208.8950,4362375.8892,2522271.3382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,385.00,00:06:25.00,GPS,0,4,4637952.8671,121208.6295,4362375.0873,2522270.4765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,390.00,00:06:30.00,GPS,0,4,4637953.5071,121209.2400,4362375.1694,2522271.1615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,395.00,00:06:35.00,GPS,0,4,4637953.1981,121208.7761,4362375.6322,2522270.7786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,400.00,00:06:40.00,GPS,0,4,4637952.5271,121208.4377,4362375.1793,2522270.5743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,405.00,00:06:45.00,GPS,0,4,4637951.9522,121208.6054,4362375.2453,2522270.6177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,410.00,00:06:50.00,GPS,0,4,4637951.5519,121208.5869,4362374.3204,2522269.4186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,415.00,00:06:55.00,GPS,0,4,4637952.5493,121208.4324,4362375.3500,2522270.6025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,420.00,00:07:00.00,GPS,0,4,4637951.2033,121208.7341,4362374.1875,2522269.3212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,425.00,00:07:05.00,GPS,0,4,4637952.8315,121208.2771,4362375.4330,2522270.8566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
